date_and_time	parameter	http_code	responds_time	days_requested	days_received
2018-01-23 15:24:27	sd	200	0.322865	21	21
2018-01-23 15:24:26	sdfsw	200	0.432117	21	21
2018-01-23 15:24:26	tm	200	0.206432	21	21
2018-01-23 14:23:08	tm	200	0.438157	21	21
2018-01-23 14:23:08	sd	200	0.397654	21	21
2018-01-23 14:23:07	sdfsw	200	0.477029	21	21
2018-01-23 14:08:07	tm	200	0.381589	21	21
2018-01-23 14:08:07	sd	200	0.401832	21	21
2018-01-23 14:08:06	sdfsw	200	0.57479	21	21
2018-01-23 13:53:06	tm	200	0.406834	21	21
2018-01-23 13:53:06	sd	200	0.389027	21	21
2018-01-23 13:53:05	sdfsw	200	0.412811	21	21
2018-01-23 13:38:07	tm	200	0.422627	21	21
2018-01-23 13:38:07	sd	200	0.416192	21	21
2018-01-23 13:38:06	sdfsw	200	0.605614	21	21
2018-01-23 13:23:06	sd	200	0.413772	21	21
2018-01-23 13:23:05	sdfsw	200	0.492275	21	21
2018-01-23 13:23:05	tm	200	0.376335	21	21
2018-01-23 13:08:11	tm	200	0.413998	21	21
2018-01-23 13:08:11	sd	200	0.455327	21	21
2018-01-23 13:08:08	sdfsw	200	0.909929	21	21
2018-01-23 12:53:06	sd	200	0.448369	21	21
2018-01-23 12:53:05	sdfsw	200	0.46744	21	21
2018-01-23 12:53:05	tm	200	0.415988	21	21
2018-01-23 12:38:11	tm	200	0.488768	21	21
2018-01-23 12:38:11	sd	200	0.403699	21	21
2018-01-23 12:38:08	sdfsw	200	0.870185	21	21
2018-01-23 12:23:10	sd	200	0.414688	21	21
2018-01-23 12:23:09	sdfsw	200	0.469643	21	21
2018-01-23 12:23:09	tm	200	0.4521	21	21
2018-01-23 12:08:09	sd	200	0.406035	21	21
2018-01-23 12:08:08	sdfsw	200	0.584591	21	21
2018-01-23 12:08:08	tm	200	0.441514	21	21
2018-01-23 11:53:07	sd	200	0.403771	21	21
2018-01-23 11:53:06	sdfsw	200	0.513842	21	21
2018-01-23 11:53:06	tm	200	0.439662	21	21
2018-01-23 11:38:11	sd	200	0.48358	21	21
2018-01-23 11:38:10	tm	200	0.413239	21	21
2018-01-23 11:38:09	sdfsw	200	0.578014	21	21
2018-01-23 11:23:10	sd	200	0.420505	21	21
2018-01-23 11:23:09	tm	200	0.41338	21	21
2018-01-23 11:23:08	sdfsw	200	0.618462	21	21
2018-01-23 11:08:07	tm	200	0.413548	21	21
2018-01-23 11:08:07	sd	200	0.440096	21	21
2018-01-23 11:08:06	sdfsw	200	0.567447	21	21
2018-01-23 10:53:07	tm	200	0.440301	21	21
2018-01-23 10:53:07	sd	200	0.410583	21	21
2018-01-23 10:53:06	sdfsw	200	0.477296	21	21
2018-01-23 10:38:10	sd	200	0.519411	21	21
2018-01-23 10:38:09	tm	200	0.439921	21	21
2018-01-23 10:38:08	sdfsw	200	0.647943	21	21
2018-01-23 10:23:11	sd	200	0.41295	21	21
2018-01-23 10:23:10	tm	200	0.492868	21	21
2018-01-23 10:23:09	sdfsw	200	0.605686	21	21
2018-01-23 10:08:09	tm	200	0.477513	21	21
2018-01-23 10:08:09	sd	200	0.473769	21	21
2018-01-23 10:08:08	sdfsw	200	0.657207	21	21
2018-01-23 09:53:16	tm	200	0.491659	21	21
2018-01-23 09:53:16	sd	200	0.456302	21	21
2018-01-23 09:53:15	sdfsw	200	0.52207	21	21
2018-01-23 09:38:10	sd	200	0.442693	21	21
2018-01-23 09:38:09	tm	200	0.449192	21	21
2018-01-23 09:38:08	sdfsw	200	0.616685	21	21
2018-01-23 09:23:15	tm	200	0.434305	21	21
2018-01-23 09:23:15	sd	200	0.494148	21	21
2018-01-23 09:23:14	sdfsw	200	0.624326	21	21
2018-01-23 09:08:13	sd	200	0.444436	21	21
2018-01-23 09:08:11	tm	200	0.508746	21	21
2018-01-23 09:08:09	sdfsw	200	0.827583	21	21
2018-01-23 08:53:08	sd	200	0.482922	21	21
2018-01-23 08:53:07	tm	200	0.470634	21	21
2018-01-23 08:53:06	sdfsw	200	0.557313	21	21
2018-01-23 08:38:10	sd	200	0.46048	21	21
2018-01-23 08:38:09	tm	200	0.433064	21	21
2018-01-23 08:38:08	sdfsw	200	0.514832	21	21
2018-01-23 08:23:11	sd	200	0.465084	21	21
2018-01-23 08:23:10	tm	200	0.489951	21	21
2018-01-23 08:23:09	sdfsw	200	0.645065	21	21
2018-01-23 08:08:52	sd	200	0.748376	21	0
2018-01-23 08:08:43	tm	200	0.071042	21	21
2018-01-23 08:08:09	sdfsw	200	0.957316	21	21
2018-01-23 07:53:18	sd	200	0.54908	21	21
2018-01-23 07:53:17	sdfsw	200	0.507515	21	21
2018-01-23 07:53:17	tm	200	0.480394	21	21
2018-01-23 07:38:07	sd	200	0.509905	21	21
2018-01-23 07:38:06	sdfsw	200	0.531983	21	21
2018-01-23 07:38:06	tm	200	0.451013	21	21
2018-01-23 07:23:06	sd	200	0.457548	21	21
2018-01-23 07:23:05	sdfsw	200	0.499306	21	21
2018-01-23 07:23:05	tm	200	0.428331	21	21
2018-01-23 07:08:08	tm	200	0.435676	21	21
2018-01-23 07:08:08	sd	200	0.45629	21	21
2018-01-23 07:08:07	sdfsw	200	0.516275	21	21
2018-01-23 06:53:12	sd	200	0.523984	21	21
2018-01-23 06:53:11	sdfsw	200	0.649285	21	21
2018-01-23 06:53:11	tm	200	0.41738	21	21
2018-01-23 06:38:06	tm	200	0.442186	21	21
2018-01-23 06:38:06	sd	200	0.477812	21	21
2018-01-23 06:38:05	sdfsw	200	0.532002	21	21
2018-01-23 06:23:07	sd	200	0.47393	21	21
2018-01-23 06:23:06	sdfsw	200	0.523721	21	21
2018-01-23 06:23:06	tm	200	0.594418	21	21
2018-01-23 06:08:07	tm	200	0.447361	21	21
2018-01-23 06:08:07	sd	200	0.424662	21	21
2018-01-23 06:08:06	sdfsw	200	0.618683	21	21
2018-01-23 05:53:11	sd	200	0.463914	21	21
2018-01-23 05:53:10	sdfsw	200	0.611221	21	21
2018-01-23 05:53:10	tm	200	0.470223	21	21
2018-01-23 05:38:12	sd	200	0.423361	21	21
2018-01-23 05:38:11	tm	200	0.43861	21	21
2018-01-23 05:38:10	sdfsw	200	0.631647	21	21
2018-01-23 05:23:08	sd	200	0.466964	21	21
2018-01-23 05:23:07	tm	200	0.747994	21	21
2018-01-23 05:23:06	sdfsw	200	0.759638	21	21
2018-01-23 05:10:05	sd	200	0.928749	21	20
2018-01-23 05:09:07	tm	200	0.832234	21	20
2018-01-23 05:08:07	sdfsw	200	0.4887	21	0
2018-01-23 04:53:05	tm	200	0.523673	21	20
2018-01-23 04:53:05	sd	200	0.504499	21	20
2018-01-23 04:53:04	sdfsw	200	0.505075	21	20
2018-01-23 04:40:05	sd	200	0.736644	21	20
2018-01-23 04:39:05	tm	200	0.529642	21	20
2018-01-23 04:38:04	sdfsw	200	0.788414	21	0
2018-01-23 04:23:11	sd	200	0.441559	21	20
2018-01-23 04:23:10	tm	200	0.618974	21	20
2018-01-23 04:23:09	sdfsw	200	0.638863	21	20
2018-01-23 04:09:41	sd	200	0.318363	21	20
2018-01-23 04:08:40	tm	200	0.38827	21	0
2018-01-23 04:08:08	sdfsw	200	0.310162	21	20
2018-01-23 03:53:06	tm	200	0.418034	21	20
2018-01-23 03:53:06	sd	200	0.827527	21	20
2018-01-23 03:53:05	sdfsw	200	0.681258	21	20
2018-01-23 03:39:21	sd	200	0.998326	21	20
2018-01-23 03:38:20	tm	200	0.398723	21	0
2018-01-23 03:38:06	sdfsw	200	0.964358	21	20
2018-01-23 03:23:13	tm	200	0.436302	21	20
2018-01-23 03:23:13	sd	200	0.491285	21	20
2018-01-23 03:23:12	sdfsw	200	0.65368	21	20
2018-01-23 03:09:41	sd	200	0.361363	21	20
