date_and_time (Server is UTC0)	log_who_short_name	http_code	responds_time (s)	responds_size (bytes)	log_who
2018-01-04 21:54:21	kdvelements	200	0.09788	19629	https://api.nve.no/hydrology/regobs/webapi/kdvelements
2018-01-04 21:48:19	kdvelements	200	0.109886	19629	https://api.nve.no/hydrology/regobs/webapi/kdvelements
2018-01-04 20:38:36	kdvelements	200	0.460766	19629	https://api.nve.no/hydrology/regobs/webapi/kdvelements
2018-01-04 20:23:35	kdvelements	200	0.471044	19629	https://api.nve.no/hydrology/regobs/webapi/kdvelements
2018-01-04 20:08:56	kdvelements	200	0.463139	19629	https://api.nve.no/hydrology/regobs/webapi/kdvelements
2018-01-04 19:53:29	kdvelements	200	0.455726	19629	https://api.nve.no/hydrology/regobs/webapi/kdvelements
2018-01-04 19:38:29	kdvelements	200	0.480703	19629	https://api.nve.no/hydrology/regobs/webapi/kdvelements
2018-01-04 19:23:38	kdvelements	200	0.471673	19629	https://api.nve.no/hydrology/regobs/webapi/kdvelements
2018-01-04 19:08:32	kdvelements	200	0.475018	19629	https://api.nve.no/hydrology/regobs/webapi/kdvelements
2018-01-04 18:53:23	kdvelements	200	0.483015	19629	https://api.nve.no/hydrology/regobs/webapi/kdvelements
2018-01-04 18:39:21	kdvelements	200	0.483085	19629	https://api.nve.no/hydrology/regobs/webapi/kdvelements
2018-01-04 18:08:29	kdvelements	200	0.456008	19629	https://api.nve.no/hydrology/regobs/webapi/kdvelements
2018-01-04 17:53:24	kdvelements	200	0.461243	19629	https://api.nve.no/hydrology/regobs/webapi/kdvelements
2018-01-04 17:38:29	kdvelements	200	0.519113	19629	https://api.nve.no/hydrology/regobs/webapi/kdvelements
2018-01-04 17:23:34	kdvelements	200	0.485623	19629	https://api.nve.no/hydrology/regobs/webapi/kdvelements
2018-01-04 17:08:51	kdvelements	200	0.443507	19629	https://api.nve.no/hydrology/regobs/webapi/kdvelements
2018-01-04 16:53:24	kdvelements	200	0.447446	19629	https://api.nve.no/hydrology/regobs/webapi/kdvelements
2018-01-04 16:38:25	kdvelements	200	0.432741	19629	https://api.nve.no/hydrology/regobs/webapi/kdvelements
2018-01-04 16:23:31	kdvelements	200	0.489366	19629	https://api.nve.no/hydrology/regobs/webapi/kdvelements
2018-01-04 16:08:27	kdvelements	200	0.474867	19629	https://api.nve.no/hydrology/regobs/webapi/kdvelements
2018-01-04 15:53:25	kdvelements	200	0.442617	19629	https://api.nve.no/hydrology/regobs/webapi/kdvelements
2018-01-04 15:38:32	kdvelements	200	0.469052	19629	https://api.nve.no/hydrology/regobs/webapi/kdvelements
2018-01-04 15:23:31	kdvelements	200	0.47988	19629	https://api.nve.no/hydrology/regobs/webapi/kdvelements
2018-01-04 15:08:27	kdvelements	200	0.486865	19629	https://api.nve.no/hydrology/regobs/webapi/kdvelements
2018-01-04 14:53:18	kdvelements	200	0.433214	19629	https://api.nve.no/hydrology/regobs/webapi/kdvelements
2018-01-04 14:38:28	kdvelements	200	0.450116	19629	https://api.nve.no/hydrology/regobs/webapi/kdvelements
2018-01-04 14:23:40	kdvelements	200	0.45463	19629	https://api.nve.no/hydrology/regobs/webapi/kdvelements
2018-01-04 14:08:29	kdvelements	200	0.454198	19629	https://api.nve.no/hydrology/regobs/webapi/kdvelements
2018-01-04 13:53:22	kdvelements	200	0.447979	19629	https://api.nve.no/hydrology/regobs/webapi/kdvelements
2018-01-04 13:38:32	kdvelements	200	0.468537	19629	https://api.nve.no/hydrology/regobs/webapi/kdvelements
2018-01-04 13:23:30	kdvelements	200	0.469753	19629	https://api.nve.no/hydrology/regobs/webapi/kdvelements
2018-01-04 13:08:49	kdvelements	200	0.513748	19629	https://api.nve.no/hydrology/regobs/webapi/kdvelements
2018-01-04 12:53:29	kdvelements	200	0.449697	19629	https://api.nve.no/hydrology/regobs/webapi/kdvelements
2018-01-04 12:38:30	kdvelements	200	0.497761	19629	https://api.nve.no/hydrology/regobs/webapi/kdvelements
2018-01-04 12:23:38	kdvelements	200	0.462124	19629	https://api.nve.no/hydrology/regobs/webapi/kdvelements
2018-01-04 12:08:29	kdvelements	200	0.484088	19629	https://api.nve.no/hydrology/regobs/webapi/kdvelements
2018-01-04 11:53:23	kdvelements	200	0.456557	19629	https://api.nve.no/hydrology/regobs/webapi/kdvelements
2018-01-04 11:38:44	kdvelements	200	0.464188	19629	https://api.nve.no/hydrology/regobs/webapi/kdvelements
2018-01-04 11:23:41	kdvelements	200	0.44555	19629	https://api.nve.no/hydrology/regobs/webapi/kdvelements
2018-01-04 10:53:25	kdvelements	200	0.460872	19629	https://api.nve.no/hydrology/regobs/webapi/kdvelements
2018-01-04 10:38:29	kdvelements	200	0.482772	19629	https://api.nve.no/hydrology/regobs/webapi/kdvelements
2018-01-04 10:23:41	kdvelements	200	0.4946	19629	https://api.nve.no/hydrology/regobs/webapi/kdvelements
2018-01-04 10:08:37	kdvelements	200	0.460079	19629	https://api.nve.no/hydrology/regobs/webapi/kdvelements
2018-01-04 09:53:23	kdvelements	200	0.451978	19629	https://api.nve.no/hydrology/regobs/webapi/kdvelements
2018-01-04 09:38:30	kdvelements	200	0.462428	19629	https://api.nve.no/hydrology/regobs/webapi/kdvelements
2018-01-04 09:23:42	kdvelements	200	0.437092	19629	https://api.nve.no/hydrology/regobs/webapi/kdvelements
2018-01-04 09:09:04	kdvelements	200	0.461088	19629	https://api.nve.no/hydrology/regobs/webapi/kdvelements
2018-01-04 08:53:27	kdvelements	200	0.433293	19629	https://api.nve.no/hydrology/regobs/webapi/kdvelements
2018-01-04 08:38:33	kdvelements	200	0.476414	19629	https://api.nve.no/hydrology/regobs/webapi/kdvelements
2018-01-04 08:23:40	kdvelements	200	0.602518	19629	https://api.nve.no/hydrology/regobs/webapi/kdvelements
2018-01-04 08:09:14	kdvelements	200	0.481084	19629	https://api.nve.no/hydrology/regobs/webapi/kdvelements
2018-01-04 07:53:29	kdvelements	200	0.46955	19629	https://api.nve.no/hydrology/regobs/webapi/kdvelements
2018-01-04 07:38:38	kdvelements	200	0.433173	19629	https://api.nve.no/hydrology/regobs/webapi/kdvelements
2018-01-04 07:23:40	kdvelements	200	0.448638	19629	https://api.nve.no/hydrology/regobs/webapi/kdvelements
2018-01-04 07:08:33	kdvelements	200	0.440202	19629	https://api.nve.no/hydrology/regobs/webapi/kdvelements
2018-01-04 06:53:35	kdvelements	200	0.472004	19629	https://api.nve.no/hydrology/regobs/webapi/kdvelements
2018-01-04 06:38:29	kdvelements	200	0.467636	19629	https://api.nve.no/hydrology/regobs/webapi/kdvelements
2018-01-04 06:23:36	kdvelements	200	0.482633	19629	https://api.nve.no/hydrology/regobs/webapi/kdvelements
2018-01-04 06:08:43	kdvelements	200	0.426082	19629	https://api.nve.no/hydrology/regobs/webapi/kdvelements
2018-01-04 05:53:22	kdvelements	200	0.441758	19629	https://api.nve.no/hydrology/regobs/webapi/kdvelements
2018-01-04 05:38:36	kdvelements	200	0.459558	19629	https://api.nve.no/hydrology/regobs/webapi/kdvelements
2018-01-04 05:23:39	kdvelements	200	0.523548	19629	https://api.nve.no/hydrology/regobs/webapi/kdvelements
2018-01-04 05:11:12	kdvelements	200	0.608076	19629	https://api.nve.no/hydrology/regobs/webapi/kdvelements
2018-01-04 04:53:43	kdvelements	200	0.476508	19629	https://api.nve.no/hydrology/regobs/webapi/kdvelements
2018-01-04 04:40:54	kdvelements	200	0.507452	19629	https://api.nve.no/hydrology/regobs/webapi/kdvelements
2018-01-04 04:23:46	kdvelements	200	0.454792	19629	https://api.nve.no/hydrology/regobs/webapi/kdvelements
2018-01-04 04:10:55	kdvelements	200	0.445163	19629	https://api.nve.no/hydrology/regobs/webapi/kdvelements
2018-01-04 03:53:24	kdvelements	200	0.439101	19629	https://api.nve.no/hydrology/regobs/webapi/kdvelements
2018-01-04 03:40:35	kdvelements	200	0.542887	19629	https://api.nve.no/hydrology/regobs/webapi/kdvelements
2018-01-04 03:23:41	kdvelements	200	0.430295	19629	https://api.nve.no/hydrology/regobs/webapi/kdvelements
2018-01-04 03:11:10	kdvelements	200	0.509381	19629	https://api.nve.no/hydrology/regobs/webapi/kdvelements
2018-01-04 02:53:30	kdvelements	200	0.471652	19629	https://api.nve.no/hydrology/regobs/webapi/kdvelements
2018-01-04 02:38:30	kdvelements	200	0.468034	19629	https://api.nve.no/hydrology/regobs/webapi/kdvelements
2018-01-04 02:23:41	kdvelements	200	0.435867	19629	https://api.nve.no/hydrology/regobs/webapi/kdvelements
2018-01-04 02:11:01	kdvelements	200	0.50215	19629	https://api.nve.no/hydrology/regobs/webapi/kdvelements
2018-01-04 01:53:22	kdvelements	200	0.452126	19629	https://api.nve.no/hydrology/regobs/webapi/kdvelements
2018-01-04 01:40:36	kdvelements	200	0.572697	19629	https://api.nve.no/hydrology/regobs/webapi/kdvelements
2018-01-04 01:23:31	kdvelements	200	0.425812	19629	https://api.nve.no/hydrology/regobs/webapi/kdvelements
2018-01-04 01:10:30	kdvelements	200	0.483299	19629	https://api.nve.no/hydrology/regobs/webapi/kdvelements
2018-01-04 00:53:21	kdvelements	200	0.445451	19629	https://api.nve.no/hydrology/regobs/webapi/kdvelements
2018-01-04 00:40:34	kdvelements	200	0.472792	19629	https://api.nve.no/hydrology/regobs/webapi/kdvelements
2018-01-04 00:23:28	kdvelements	200	0.456821	19629	https://api.nve.no/hydrology/regobs/webapi/kdvelements
2018-01-04 00:10:52	kdvelements	200	0.519014	19629	https://api.nve.no/hydrology/regobs/webapi/kdvelements
2018-01-03 23:53:28	kdvelements	200	0.452952	19629	https://api.nve.no/hydrology/regobs/webapi/kdvelements
2018-01-03 23:38:27	kdvelements	200	0.448103	19629	https://api.nve.no/hydrology/regobs/webapi/kdvelements
2018-01-03 23:23:35	kdvelements	200	0.44596	19629	https://api.nve.no/hydrology/regobs/webapi/kdvelements
2018-01-03 23:08:30	kdvelements	200	0.603931	19629	https://api.nve.no/hydrology/regobs/webapi/kdvelements
2018-01-03 22:53:30	kdvelements	200	0.616365	19629	https://api.nve.no/hydrology/regobs/webapi/kdvelements
2018-01-03 22:38:38	kdvelements	200	0.446019	19629	https://api.nve.no/hydrology/regobs/webapi/kdvelements
2018-01-03 22:23:36	kdvelements	200	0.457839	19629	https://api.nve.no/hydrology/regobs/webapi/kdvelements
2018-01-03 22:08:31	kdvelements	200	0.468305	19629	https://api.nve.no/hydrology/regobs/webapi/kdvelements
2018-01-03 21:53:21	kdvelements	200	0.437765	19629	https://api.nve.no/hydrology/regobs/webapi/kdvelements
2018-01-03 21:38:29	kdvelements	200	0.474041	19629	https://api.nve.no/hydrology/regobs/webapi/kdvelements
2018-01-03 21:23:44	kdvelements	200	0.483633	19629	https://api.nve.no/hydrology/regobs/webapi/kdvelements
2018-01-03 21:08:35	kdvelements	200	0.472366	19629	https://api.nve.no/hydrology/regobs/webapi/kdvelements
2018-01-03 20:53:33	kdvelements	200	0.44694	19629	https://api.nve.no/hydrology/regobs/webapi/kdvelements
2018-01-03 20:38:30	kdvelements	200	0.472499	19629	https://api.nve.no/hydrology/regobs/webapi/kdvelements
2018-01-03 20:23:35	kdvelements	200	0.458008	19629	https://api.nve.no/hydrology/regobs/webapi/kdvelements
2018-01-03 20:08:31	kdvelements	200	0.462676	19629	https://api.nve.no/hydrology/regobs/webapi/kdvelements
2018-01-03 19:53:29	kdvelements	200	0.453169	19629	https://api.nve.no/hydrology/regobs/webapi/kdvelements
2018-01-03 19:38:30	kdvelements	200	0.439223	19629	https://api.nve.no/hydrology/regobs/webapi/kdvelements
2018-01-03 19:23:36	kdvelements	200	0.615335	19629	https://api.nve.no/hydrology/regobs/webapi/kdvelements
2018-01-03 19:08:27	kdvelements	200	0.486091	19629	https://api.nve.no/hydrology/regobs/webapi/kdvelements
2018-01-03 18:53:22	kdvelements	200	0.43196	19629	https://api.nve.no/hydrology/regobs/webapi/kdvelements
2018-01-03 18:38:34	kdvelements	200	0.463263	19629	https://api.nve.no/hydrology/regobs/webapi/kdvelements
2018-01-03 18:23:32	kdvelements	200	0.45259	19629	https://api.nve.no/hydrology/regobs/webapi/kdvelements
2018-01-03 18:08:36	kdvelements	200	0.443102	19629	https://api.nve.no/hydrology/regobs/webapi/kdvelements
2018-01-03 17:53:23	kdvelements	200	0.519872	19629	https://api.nve.no/hydrology/regobs/webapi/kdvelements
2018-01-03 17:38:26	kdvelements	200	0.442635	19629	https://api.nve.no/hydrology/regobs/webapi/kdvelements
2018-01-03 17:08:27	kdvelements	200	0.435974	19629	https://api.nve.no/hydrology/regobs/webapi/kdvelements
2018-01-03 16:53:23	kdvelements	200	0.446885	19629	https://api.nve.no/hydrology/regobs/webapi/kdvelements
2018-01-03 16:38:29	kdvelements	200	0.449324	19629	https://api.nve.no/hydrology/regobs/webapi/kdvelements
2018-01-03 16:23:32	kdvelements	200	0.443543	19629	https://api.nve.no/hydrology/regobs/webapi/kdvelements
2018-01-03 16:08:34	kdvelements	200	0.42831	19629	https://api.nve.no/hydrology/regobs/webapi/kdvelements
2018-01-03 15:53:20	kdvelements	200	0.449298	19629	https://api.nve.no/hydrology/regobs/webapi/kdvelements
2018-01-03 15:38:30	kdvelements	200	0.45681	19629	https://api.nve.no/hydrology/regobs/webapi/kdvelements
2018-01-03 15:23:34	kdvelements	200	0.461127	19629	https://api.nve.no/hydrology/regobs/webapi/kdvelements
2018-01-03 15:08:24	kdvelements	200	0.45776	19629	https://api.nve.no/hydrology/regobs/webapi/kdvelements
2018-01-03 14:53:23	kdvelements	200	0.456641	19629	https://api.nve.no/hydrology/regobs/webapi/kdvelements
2018-01-03 14:38:26	kdvelements	200	0.45266	19629	https://api.nve.no/hydrology/regobs/webapi/kdvelements
2018-01-03 14:23:33	kdvelements	200	0.448705	19629	https://api.nve.no/hydrology/regobs/webapi/kdvelements
2018-01-03 14:08:26	kdvelements	200	0.457933	19629	https://api.nve.no/hydrology/regobs/webapi/kdvelements
2018-01-03 13:53:17	kdvelements	200	0.440101	19629	https://api.nve.no/hydrology/regobs/webapi/kdvelements
2018-01-03 13:38:31	kdvelements	200	0.444304	19629	https://api.nve.no/hydrology/regobs/webapi/kdvelements
2018-01-03 13:23:29	kdvelements	200	0.45214	19629	https://api.nve.no/hydrology/regobs/webapi/kdvelements
2018-01-03 13:08:28	kdvelements	200	0.445001	19629	https://api.nve.no/hydrology/regobs/webapi/kdvelements
2018-01-03 12:53:21	kdvelements	200	0.453961	19629	https://api.nve.no/hydrology/regobs/webapi/kdvelements
2018-01-03 12:38:21	kdvelements	200	0.483954	19629	https://api.nve.no/hydrology/regobs/webapi/kdvelements
2018-01-03 12:23:34	kdvelements	200	0.441655	19629	https://api.nve.no/hydrology/regobs/webapi/kdvelements
2018-01-03 12:08:28	kdvelements	200	0.467485	19629	https://api.nve.no/hydrology/regobs/webapi/kdvelements
2018-01-03 11:53:22	kdvelements	200	0.448251	19629	https://api.nve.no/hydrology/regobs/webapi/kdvelements
2018-01-03 11:38:40	kdvelements	200	0.456182	19629	https://api.nve.no/hydrology/regobs/webapi/kdvelements
2018-01-03 11:23:32	kdvelements	200	0.486182	19629	https://api.nve.no/hydrology/regobs/webapi/kdvelements
2018-01-03 11:08:32	kdvelements	200	0.44833	19629	https://api.nve.no/hydrology/regobs/webapi/kdvelements
2018-01-03 10:53:21	kdvelements	200	0.449059	19629	https://api.nve.no/hydrology/regobs/webapi/kdvelements
2018-01-03 10:38:25	kdvelements	200	0.518364	19629	https://api.nve.no/hydrology/regobs/webapi/kdvelements
2018-01-03 10:23:31	kdvelements	200	0.456952	19629	https://api.nve.no/hydrology/regobs/webapi/kdvelements
2018-01-03 10:08:26	kdvelements	200	0.437674	19629	https://api.nve.no/hydrology/regobs/webapi/kdvelements
2018-01-03 09:56:34	kdvelements	200	0.451943	19629	https://api.nve.no/hydrology/regobs/webapi/kdvelements
2018-01-03 09:38:27	kdvelements	200	0.461944	19629	https://api.nve.no/hydrology/regobs/webapi/kdvelements
2018-01-03 09:23:40	kdvelements	200	0.454477	19629	https://api.nve.no/hydrology/regobs/webapi/kdvelements
2018-01-03 09:08:28	kdvelements	200	0.44583	19629	https://api.nve.no/hydrology/regobs/webapi/kdvelements
2018-01-03 08:53:24	kdvelements	200	0.587699	19629	https://api.nve.no/hydrology/regobs/webapi/kdvelements
2018-01-03 08:38:32	kdvelements	200	0.466203	19629	https://api.nve.no/hydrology/regobs/webapi/kdvelements
2018-01-03 08:23:37	kdvelements	200	0.46245	19629	https://api.nve.no/hydrology/regobs/webapi/kdvelements
2018-01-03 08:10:33	kdvelements	200	0.504209	19629	https://api.nve.no/hydrology/regobs/webapi/kdvelements
2018-01-03 07:53:30	kdvelements	200	0.469135	19629	https://api.nve.no/hydrology/regobs/webapi/kdvelements
2018-01-03 07:38:30	kdvelements	200	0.452811	19629	https://api.nve.no/hydrology/regobs/webapi/kdvelements
2018-01-03 07:23:45	kdvelements	200	0.456462	19629	https://api.nve.no/hydrology/regobs/webapi/kdvelements
2018-01-03 07:08:28	kdvelements	200	0.466798	19629	https://api.nve.no/hydrology/regobs/webapi/kdvelements
2018-01-03 06:53:28	kdvelements	200	0.454835	19629	https://api.nve.no/hydrology/regobs/webapi/kdvelements
2018-01-03 06:38:25	kdvelements	200	0.472548	19629	https://api.nve.no/hydrology/regobs/webapi/kdvelements
2018-01-03 06:23:32	kdvelements	200	0.462752	19629	https://api.nve.no/hydrology/regobs/webapi/kdvelements
2018-01-03 05:53:24	kdvelements	200	0.441938	19629	https://api.nve.no/hydrology/regobs/webapi/kdvelements
2018-01-03 05:38:35	kdvelements	200	0.46472	19629	https://api.nve.no/hydrology/regobs/webapi/kdvelements
2018-01-03 05:23:46	kdvelements	200	0.453886	19629	https://api.nve.no/hydrology/regobs/webapi/kdvelements
2018-01-03 05:11:00	kdvelements	200	0.464607	19629	https://api.nve.no/hydrology/regobs/webapi/kdvelements
2018-01-03 04:53:35	kdvelements	200	0.474005	19629	https://api.nve.no/hydrology/regobs/webapi/kdvelements
2018-01-03 04:41:05	kdvelements	200	0.50686	19629	https://api.nve.no/hydrology/regobs/webapi/kdvelements
2018-01-03 04:23:48	kdvelements	200	0.520512	19629	https://api.nve.no/hydrology/regobs/webapi/kdvelements
2018-01-03 04:11:02	kdvelements	200	0.532484	19629	https://api.nve.no/hydrology/regobs/webapi/kdvelements
2018-01-03 03:53:29	kdvelements	200	0.485945	19629	https://api.nve.no/hydrology/regobs/webapi/kdvelements
2018-01-03 03:41:01	kdvelements	200	0.544181	19629	https://api.nve.no/hydrology/regobs/webapi/kdvelements
2018-01-03 03:23:43	kdvelements	200	0.465919	19629	https://api.nve.no/hydrology/regobs/webapi/kdvelements
2018-01-03 03:11:08	kdvelements	200	0.562471	19629	https://api.nve.no/hydrology/regobs/webapi/kdvelements
2018-01-03 02:53:24	kdvelements	200	0.444335	19629	https://api.nve.no/hydrology/regobs/webapi/kdvelements
2018-01-03 02:38:31	kdvelements	200	0.483984	19629	https://api.nve.no/hydrology/regobs/webapi/kdvelements
2018-01-03 02:23:37	kdvelements	200	0.456578	19629	https://api.nve.no/hydrology/regobs/webapi/kdvelements
2018-01-03 02:09:22	kdvelements	200	0.45819	19629	https://api.nve.no/hydrology/regobs/webapi/kdvelements
2018-01-03 01:53:18	kdvelements	200	0.446836	19629	https://api.nve.no/hydrology/regobs/webapi/kdvelements
2018-01-03 01:38:56	kdvelements	200	0.461077	19629	https://api.nve.no/hydrology/regobs/webapi/kdvelements
2018-01-03 01:23:28	kdvelements	200	0.453631	19629	https://api.nve.no/hydrology/regobs/webapi/kdvelements
2018-01-03 01:09:19	kdvelements	200	0.454248	19629	https://api.nve.no/hydrology/regobs/webapi/kdvelements
2018-01-03 00:53:25	kdvelements	200	0.45817	19629	https://api.nve.no/hydrology/regobs/webapi/kdvelements
2018-01-03 00:38:59	kdvelements	200	0.454	19629	https://api.nve.no/hydrology/regobs/webapi/kdvelements
2018-01-03 00:23:29	kdvelements	200	0.452698	19629	https://api.nve.no/hydrology/regobs/webapi/kdvelements
2018-01-03 00:08:58	kdvelements	200	0.463781	19629	https://api.nve.no/hydrology/regobs/webapi/kdvelements
2018-01-02 23:53:23	kdvelements	200	0.451154	19629	https://api.nve.no/hydrology/regobs/webapi/kdvelements
2018-01-02 23:38:28	kdvelements	200	0.432313	19629	https://api.nve.no/hydrology/regobs/webapi/kdvelements
2018-01-02 23:23:32	kdvelements	200	0.448189	19629	https://api.nve.no/hydrology/regobs/webapi/kdvelements
2018-01-02 23:08:27	kdvelements	200	0.668983	19629	https://api.nve.no/hydrology/regobs/webapi/kdvelements
2018-01-02 22:53:22	kdvelements	200	0.547879	19629	https://api.nve.no/hydrology/regobs/webapi/kdvelements
2018-01-02 22:38:29	kdvelements	200	0.456394	19629	https://api.nve.no/hydrology/regobs/webapi/kdvelements
